make,model,registration,year,inspection date,engine size,engine power
make4,model17,MMQ-050,2003,2018-05-08,2111,124
make9,model12,ODU-748,1999,2018-03-25,1423,71
make8,model0,DAM-210,2006,2018-04-16,2284,496
make8,model2,RAP-857,2006,2018-11-12,1331,460
make9,model7,FRT-428,1998,2018-01-11,2346,435
make0,model6,ADZ-337,2001,2018-07-09,2138,310
make8,model10,SEK-420,2008,2018-10-01,1194,173
make1,model0,QKU-932,2012,2018-12-24,2484,258
make5,model10,GUE-112,1997,2018-07-08,2174,323
make6,model16,MNW-699,1991,2018-05-12,2635,204
make10,model16,JCF-448,2000,2018-07-26,2564,432
make7,model5,QDS-827,1991,2018-03-31,1993,163
make10,model7,NJY-102,1999,2018-03-23,2981,382
make8,model16,FFR-514,1993,2018-06-22,1428,65
make4,model7,XRZ-163,1999,2018-09-25,1559,104
make3,model5,IAD-642,2006,2018-02-27,2278,274
make3,model19,PZZ-874,2001,2018-10-03,2213,477
make9,model0,EEC-940,1998,2018-05-04,1570,262
make7,model17,RCP-804,1990,2018-02-22,2478,401
make9,model15,VYS-766,1996,2018-11-02,1358,73
make5,model18,SBT-130,2011,2018-12-16,534,60
make9,model18,XJF-027,1990,2018-01-22,1115,111
make9,model9,LPF-232,1991,2018-02-14,1918,294
make3,model15,CXF-559,1995,2018-04-20,1513,251
make7,model2,IFC-279,2008,2018-03-11,2730,183
make10,model4,KCJ-662,2007,2018-03-18,1601,69
make10,model7,HZC-632,2010,2018-08-22,2024,435
make1,model1,GDW-252,1996,2018-09-20,2285,223
make10,model17,LCZ-280,1998,2018-11-15,2919,379
make1,model0,ZXX-915,2012,2018-05-15,1757,350
make9,model14,MPY-302,2010,2018-03-21,1963,108
make9,model15,NMJ-207,2010,2018-05-17,2495,354
make6,model2,IAC-406,2004,2018-06-10,1127,161
make8,model20,ALD-159,2012,2018-08-27,2291,374
make9,model5,DRI-943,1991,2018-07-18,1016,217
make6,model18,YLA-043,1996,2018-06-23,958,197
make5,model8,YGD-647,2010,2018-10-19,1712,371
make6,model6,NPU-435,2010,2018-10-19,2972,469
make0,model16,PNV-889,2006,2018-07-29,2481,455
make10,model19,MIS-552,1999,2018-10-30,1482,262
make2,model9,NVQ-820,1994,2018-04-15,2697,243
make10,model13,CRS-214,2007,2018-10-06,1447,388
make1,model1,MZM-079,1998,2018-04-04,2425,494
make0,model4,TDI-521,1998,2018-11-20,1273,361
make8,model6,XLU-005,1993,2018-06-11,518,362
make7,model0,REX-991,1998,2018-04-21,1183,87
make8,model13,VZW-173,2005,2018-10-14,559,94
make8,model2,TDI-934,2004,2018-05-08,515,481
make7,model18,GGF-947,2012,2018-05-10,577,416
make3,model3,CAE-230,2003,2018-07-10,1125,463
make5,model3,BOT-610,2009,2018-11-13,803,228
make8,model12,YYX-629,2000,2018-05-06,2900,363
make0,model12,FID-999,1999,2018-09-27,2354,493
make4,model12,WAC-459,1990,2018-03-26,2962,409
make4,model0,KKD-343,2013,2018-11-07,2430,371
make2,model12,BAU-283,2012,2018-06-17,2380,325
make3,model13,ODA-836,1994,2018-10-04,885,384
make9,model10,WBE-896,2012,2018-12-05,771,327
make2,model8,PQM-130,2008,2018-07-24,2750,289
make0,model0,EJW-278,1993,2018-08-11,1204,111
make0,model15,KSZ-780,1995,2018-03-09,2796,471
make10,model12,JOC-762,2007,2018-01-09,2357,150
make7,model17,RJY-711,2006,2018-08-05,2184,494
make7,model10,EJB-614,1994,2018-09-09,2662,431
make4,model17,SRD-787,1990,2018-02-01,2740,151
make9,model19,RCJ-316,1997,2018-07-17,1581,211
make7,model7,EAU-403,1995,2018-05-27,2096,215
make4,model3,WBP-930,1994,2018-11-24,958,260
make5,model3,BKG-301,2001,2018-03-04,2039,397
make6,model2,DSS-885,1997,2018-12-03,2865,394
make5,model17,UZE-668,1992,2018-09-19,1486,345
make3,model2,UDP-721,1995,2018-04-21,648,429
make0,model14,HAN-384,1993,2018-02-18,1354,318
make2,model4,VZX-911,1993,2018-12-25,1863,290
make8,model2,ATH-446,1993,2018-04-14,1165,144
make4,model9,HVP-947,1992,2018-01-01,2633,51
make1,model2,WCB-293,2013,2018-11-28,663,445
make5,model3,UTV-513,2003,2018-04-11,2401,202
make5,model5,HJX-167,1990,2018-12-07,2477,450
make5,model10,EVQ-061,1994,2018-12-21,2193,491
make6,model11,YFW-222,2013,2018-04-21,2016,51
make3,model11,KXI-296,2009,2018-12-02,2040,369
make2,model16,KEX-406,2002,2018-01-07,1244,173
make5,model4,CSQ-858,2000,2018-04-08,2183,462
make2,model9,JUK-818,2003,2018-07-12,794,498
make7,model8,FPD-567,1996,2018-05-04,1321,183
make2,model20,IGC-148,2012,2018-01-01,893,135
make5,model15,CGQ-223,2007,2018-12-19,2560,83
make1,model20,XLF-271,2006,2018-06-18,2127,348
make5,model9,IFZ-618,1995,2018-11-14,1738,428
make7,model1,QYA-825,2011,2018-04-02,789,408
make1,model14,XWB-543,2003,2018-03-19,572,131
make7,model19,FAN-821,2008,2018-06-29,2330,450
make7,model1,UOX-586,2006,2018-11-28,2418,364
make7,model6,ISM-117,1996,2018-10-17,2314,220
make9,model15,BJU-770,2004,2018-11-13,1795,374
make5,model8,TGO-482,1990,2018-01-23,1896,70
make8,model4,YEW-186,1992,2018-02-17,969,152
make7,model11,HQG-383,2000,2018-12-24,1758,440
make1,model4,ZYM-136,1999,2018-11-11,1449,209
make6,model7,CNJ-312,2002,2018-11-03,889,320
make5,model7,TLY-940,2006,2018-04-03,1478,368
make9,model3,IUW-794,2001,2018-01-17,1454,308
make3,model13,PMX-884,1994,2018-12-15,2008,106
make4,model13,OSI-864,2008,2018-03-04,1853,352
make10,model16,QFT-360,1992,2018-11-29,627,144
